ASSETS,group_row_hidden,T-GAAP,IFRS17
LIC IBNR,,," 23,181,537 "
LIC OS RBNA,,," 17,804,570 "
LIC Claim Payable,,, -   
LIC Dividend Payable,,, -   
LIC Refunds Payable,,, -   
LIC General Payable,,, -   
LIC Investigation Expense,,, -   
LIC Waiver of Premium reserve,,, -   
LRC Reinsurance,1,, -   
LIC Reinsurance,1,, -   
Liability of Investment contracts,1,, -   
TOTAL LIABILITIES,2," 23,863,643,856 "," (38,946,642,769)"
OWNERS' EQUITY,1,,
SHARE CAPITAL,1,,
Authorized share capital,2," 2,525,000,000 "," 2,525,000,000 "
"2,525,000,000 ordinary shares of Baht 1 each",,, -   
Issued and paid-up share capital,1," 1,867,837,300 "," 1,867,837,300 "
"1,867,837,300 ordinary shares of Baht 1 each",,, -   
PREMIUM ON ORDINARY SHARE CAPITAL,1," 1,082,786,110 "," 1,082,786,110 "
RETAINED EARNINGS,1,,
Appropriated,1,,
Legal reserve,," 200,567,223 "," 200,567,223 "
Unappropriated,1," 1,942,939,913 "," 78,762,440,764 "
T-GAAP balance,," 1,942,939,913 "," 1,942,939,913 "
IFRS17 adjustments (unapp.),, -   ," 18,132,717,643 "
Net profit (loss) after tax,, - ," 58,686,783,208 "
OTHER COMPONENTS OF EQUITY,1," 890,702,587 "," 890,702,587 "
ACCUMULATED OCI,1, - ," (15,314,837,155)"
AOCI LRC before tax,, - ," (15,361,416,821)"
AOCI LIC,, - , -   
AOCI reinsurance LRC before tax,, -   ," 46,579,666 "
AOCI reinsurance LIC,, -   , -   
TOTAL OWNERS' EQUITY,2,5984833133,67489496829
TOTAL LIABILITIES AND OWNERS' EQUITY,2,29848476989,28542854060
