계 정 과 목,총괄
            바. 어음할인대출금    ,PAP_BS_110300600000
                (1)개인대출  ,PAP_BS_110300601000
                (2)기업대출  ,PAP_BS_110300602000
            사. 지급보증대출금    ,PAP_BS_110300700000
                (1)개인대출  ,PAP_BS_110300701000
                (2)기업대출  ,PAP_BS_110300702000
            아. 기타대출금    ,PAP_BS_110300800000
                (1)개인대출  ,PAP_BS_110300801000
                (2)기업대출  ,PAP_BS_110300802000
            [개인대출]      ,PAP_BS_110300802010
                1.신용      ,PAP_BS_110300802011
                2.담보      ,PAP_BS_110300802012
                3.기타      ,PAP_BS_110300802013
            [기업대출]      ,PAP_BS_110300802020
                1.일반      ,PAP_BS_110300802021
                2.특수금융      ,PAP_BS_110300802022
                3.기타      ,PAP_BS_110300802023
                4. 부동산      ,PAP_BS_110400000000
                    가. 토지    ,PAP_BS_110400100000
                    나. 건물    ,PAP_BS_110400200000
                    다. 구축물    ,PAP_BS_110400300000
                    라. 해외부동산    ,PAP_BS_110400400000
                    마. 건설중인자산    ,PAP_BS_110400500000
                    바. 기타부동산    ,PAP_BS_110400600000
    II. 비운용자산        ,PAP_BS_120000000000
        1. 재보험자산      ,PAP_BS_120100000000
            [재보험자산_지배회사]      ,PAP_BS_120100000010
        2. 미수금      ,PAP_BS_120200000000
        3. 보증금      ,PAP_BS_120300000000
            [공탁금]      ,PAP_BS_120300000010
        4. 미수수익      ,PAP_BS_120400000000
        5. 선급비용      ,PAP_BS_120500000000
        6. 선급법인세      ,PAP_BS_120600000000
        7. 선급부가세      ,PAP_BS_120700000000
        8. 선급금      ,PAP_BS_120800000000
        9. 가지급금      ,PAP_BS_120900000000
        10. 가지급보험금      ,PAP_BS_121000000000
        11. 본지점계정차      ,PAP_BS_121100000000
        12. 차량운반구      ,PAP_BS_121200000000
        13. 비품      ,PAP_BS_121300000000
        14. 임차점포시설물      ,PAP_BS_121400000000
        15. 기타의유형자산      ,PAP_BS_121500000000
        16. 이연법인세자산      ,PAP_BS_121600000000
        17. 파생상품자산      ,PAP_BS_121700000000
            가. 이자율관련    ,PAP_BS_121700100000
            나. 통화관련    ,PAP_BS_121700200000
            다. 주식관련    ,PAP_BS_121700300000
            라. 신용관련    ,PAP_BS_121700400000
            마. 기타    ,PAP_BS_121700500000
        18. 무형자산      ,PAP_BS_121800000000
            가. 영업권    ,PAP_BS_121800100000
            나. 소프트웨어    ,PAP_BS_121800200000
            다. 개발비    ,PAP_BS_121800300000
            라. 기타의무형자산    ,PAP_BS_121800400000
        19. 어음      ,PAP_BS_121900000000
        20. 순확정급여자산      ,PAP_BS_122000000000
        21. 기타의비운용자산      ,PAP_BS_122100000000
    III. 특별계정자산        ,PAP_BS_130000000000
        (특별계정미지급금-실적배당형퇴직연금) ,PAP_BS_130100000000
        (특별계정미지급금-변액보험) ,PAP_BS_130200000000
        1. 실적배당형퇴직연금      ,PAP_BS_130300000000
            가.현금과 예치금    ,PAP_BS_130300100000
            나.주식    ,PAP_BS_130300200000
            다.채권    ,PAP_BS_130300300000
            라.수익증권    ,PAP_BS_130300400000
            마.외화유가증권    ,PAP_BS_130300500000
            바.기타유가증권    ,PAP_BS_130300600000
            사.대출채권  ,PAP_BS_130300700000
            아.기타    ,PAP_BS_130300800000
            자.일반계정미수금,PAP_BS_130300900000
        2. 변액보험      ,PAP_BS_130400000000
            가.현금과 예치금    ,PAP_BS_130400100000
            나.주식    ,PAP_BS_130400200000
            다.채권    ,PAP_BS_130400300000
            라.수익증권    ,PAP_BS_130400400000
            마.외화유가증권    ,PAP_BS_130400500000
            바.기타유가증권    ,PAP_BS_130400600000
            사.대출채권  ,PAP_BS_130400700000
                (1)보험계약대출  ,PAP_BS_130400701000
                (2)기타대출  ,PAP_BS_130400702000
            아.기타    ,PAP_BS_130400800000
            자.일반계정미수금,PAP_BS_130400900000
부채총계        ,PAP_BS_200000000000
    [부채총계_지배회사]      ,PAP_BS_200000000010
    I. 책임준비금        ,PAP_BS_200100000000
        [보험미수금]      ,PAP_BS_200100000010
        [보험미지급금]      ,PAP_BS_200100000020
        [구상채권]      ,PAP_BS_200100000030
        [계약자배당부채]      ,PAP_BS_200100000040
            - 계약자배당준비금,PAP_BS_200100000041
            - 계약자이익배당준비금,PAP_BS_200100000042
            - 배당보험손실보전준비금,PAP_BS_200100000043
            - 계약자배당안정화준비금,PAP_BS_200100000044
        1. 현행추정부채      ,PAP_BS_200200000000
            [현행추정부채_지배회사]      ,PAP_BS_200200000010
            가. 생명·장기손해보험    ,PAP_BS_200200100000
                (1) 보험료부채  ,PAP_BS_200200101000
                    [퇴직보험/원리금보장형퇴직연금]      ,PAP_BS_200200101010
                (2) 준비금부채  ,PAP_BS_200200102000
            나. 일반손해보험    ,PAP_BS_200200200000
                (1) 보험료부채  ,PAP_BS_200200201000
                (2) 준비금부채  ,PAP_BS_200200202000
        2. 위험마진      ,PAP_BS_200300000000
            가. 생명·장기손해보험    ,PAP_BS_200300100000
            나. 일반손해보험    ,PAP_BS_200300200000
    II. 기타부채        ,PAP_BS_210000000000
        1. 미지급금      ,PAP_BS_210100000000
        2. 미지급비용      ,PAP_BS_210200000000
        3. 미지급법인세      ,PAP_BS_210300000000
        4. 당좌차월      ,PAP_BS_210400000000
        5. 차입금      ,PAP_BS_210500000000
            [잔존만기3개월이내],PAP_BS_210500000010
            가. 콜머니    ,PAP_BS_210500100000
            나. RP매도    ,PAP_BS_210500200000
            다. 후순위차입    ,PAP_BS_210500300000
            라. 기업어음의발행    ,PAP_BS_210500400000
            마. 기타    ,PAP_BS_210500500000
        6. 사채      ,PAP_BS_210600000000
            가. 후순위채권    ,PAP_BS_210600100000
            나. 일반채권    ,PAP_BS_210600200000
        7. 선수금      ,PAP_BS_210700000000
        8. 선수수익      ,PAP_BS_210800000000
        9. 예수금      ,PAP_BS_210900000000
        10. 미지급부가세      ,PAP_BS_211000000000
        11. 가수금      ,PAP_BS_211100000000
        12. 가수보험료      ,PAP_BS_211200000000
        13. 본지점계정대      ,PAP_BS_211300000000
        14. 이연법인세부채      ,PAP_BS_211400000000
        15. 임대보증금      ,PAP_BS_211500000000
        16. 순확정급여채무      ,PAP_BS_211600000000
            가. 확정급여채무    ,PAP_BS_211600100000
            나. 미인식보험수리적손익    ,PAP_BS_211600200000
            다. 미인식과거근무원가    ,PAP_BS_211600300000
            라. 사외적립자산    ,PAP_BS_211600400000
        17. 파생상품부채      ,PAP_BS_211700000000
            가. 이자율관련    ,PAP_BS_211700100000
            나. 통화관련    ,PAP_BS_211700200000
            다. 주식관련    ,PAP_BS_211700300000
            라. 신용관련    ,PAP_BS_211700400000
            마. 기타    ,PAP_BS_211700500000
        18. 신탁계정차      ,PAP_BS_211800000000
        19. 복구충당부채      ,PAP_BS_211900000000
        20. 채무보증충당부채      ,PAP_BS_212000000000
        21. 요구불상환지분      ,PAP_BS_212100000000
            가. 상환우선주    ,PAP_BS_212100100000
            나. 기타    ,PAP_BS_212100200000
        22. 지급어음      ,PAP_BS_212200000000
        23. 계약자지분조정,PAP_BS_212300000000
            가. 공익사업출연기금    ,PAP_BS_212300100000
            나. 재평가적립금    ,PAP_BS_212300200000
            다. 기타포괄손익-공정가치측정금융상품평가손익,PAP_BS_212300300000
            라. 지분법적용투자주식평가손익,PAP_BS_212300400000
            마. 재평가잉여금,PAP_BS_212300500000
        24. 우발부채,PAP_BS_212400000000
        25. 그밖의기타부채      ,PAP_BS_212500000000
    III. 특별계정부채        ,PAP_BS_220000000000
        (특별계정미수금-실적배당형퇴직연금) ,PAP_BS_220100000000
        (특별계정미수금-변액보험)     ,PAP_BS_220200000000
        1. 책임준비금,PAP_BS_220300000000
            가. 현행추정부채,PAP_BS_220300100000
                [현행추정부채_지배회사]      ,PAP_BS_220300100010
                (1) 보험료부채  ,PAP_BS_220300101000
                    (가) 실적배당형퇴직연금,PAP_BS_220300101100
                    (나) 변액보험,PAP_BS_220300101200
        2. 기타부채,PAP_BS_220400000000
            가. 실적배당형퇴직연금,PAP_BS_220400100000
            나. 변액보험,PAP_BS_220400200000
        3. 일반계정미지급금,PAP_BS_220500000000
자본총계        ,PAP_BS_300000000000
    [자본총계_지배회사],PAP_BS_300000000010
    I. 보통주    ,PAP_BS_310000000000
    Ⅱ. 보통주 이외의 자본증권        ,PAP_BS_320000000000
    Ⅲ. 이익잉여금        ,PAP_BS_330000000000
    Ⅳ. 자본조정        ,PAP_BS_340000000000
    Ⅴ. 기타포괄손익누계액,PAP_BS_350000000000
    Ⅵ. 조정준비금,PAP_BS_360000000000
